Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00032689,MP0019,Bihar,AURANGABAD-1,Public Infrastructure,Infrastructure development,9160000,2025-01-31,2025-10-18,2025-09-29,V031227,Completed
P00032690,MP0037,Madhya Pradesh,UJJAIN-2,Road,Road repair and improvement,1650000,2025-07-31,2025-11-21,2025-11-02,V002144,Completed
P00032691,MP0004,Maharashtra,PUNE-1,Water Supply,Water supply improvement,2540000,2025-06-12,2025-12-12,,V039962,Ongoing
P00032692,MP0037,Madhya Pradesh,UJJAIN-2,Community Development,Village development work,3710000,2025-01-28,2025-10-24,2025-09-26,V007237,Completed
P00032693,MP0051,Rajasthan,JAIPUR-5,Road,Internal road development,9110000,2025-08-01,2026-03-10,,V034314,Ongoing
P00032694,MP0032,Karnataka,MYSURU-4,Electricity,Solar lighting installation,7170000,2025-06-10,2025-11-22,2025-11-11,V003147,Completed
P00032695,MP0045,Tamil Nadu,MADURAI-2,Community Development,Public facility development,8500000,2025-02-07,2025-08-06,2025-07-17,V023905,Completed
P00032696,MP0012,Maharashtra,SATARA-5,Education,School classroom construction,9750000,2025-05-18,2025-12-11,2025-11-26,V025564,Completed
P00032697,MP0041,Maharashtra,LATUR-3,Community Development,Public facility development,9260000,2025-05-21,2025-11-25,2026-05-05,V020816,Completed
P00032698,MP0056,Telangana,WARANGAL-5,Electricity,Street lighting installation,550000,2025-07-14,2025-10-18,2025-10-15,V022956,Completed
P00032699,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Community Development,Public facility development,6040000,2025-05-31,2026-01-07,2026-06-20,V022530,Completed
P00032700,MP0014,West Bengal,DURGAPUR-5,Sports,Community sports facility,6940000,2025-04-05,2025-08-29,2025-10-21,V043677,Completed
P00032701,MP0054,Karnataka,BELAGAVI-3,Education,Library construction,580000,2025-07-13,2025-12-17,2026-06-15,V029292,Delayed
P00032702,MP0063,Gujarat,RAJKOT-2,Education,School classroom construction,9160000,2025-08-25,2025-12-14,2025-11-26,V000898,Completed
P00032703,MP0065,Tamil Nadu,CHENNAI-1,Agriculture,Irrigation development,7860000,2025-01-20,2025-08-15,2025-07-18,V014923,Completed
P00032704,MP0058,Uttar Pradesh,KANPUR-1,Electricity,Solar lighting installation,5800000,2025-08-23,2026-01-02,,V044451,Ongoing
P00032705,MP0096,Maharashtra,PUNE-3,Water Supply,Drinking water facility,7790000,2025-03-30,2025-10-15,2025-10-10,V000864,Completed
P00032706,MP0021,Telangana,KARIMNAGAR-3,Sanitation,Community toilet construction,7750000,2025-04-01,2025-08-20,,V011119,Ongoing
P00032707,MP0004,Maharashtra,PUNE-1,Electricity,Electricity infrastructure,3500000,2025-05-05,2025-12-04,2025-11-12,V000960,Completed
P00032708,MP0073,Tamil Nadu,CHENNAI-3,Public Infrastructure,Public building construction,3290000,2025-01-17,2025-08-16,2025-07-18,V009349,Completed
P00032709,MP0046,Telangana,WARANGAL-3,Sanitation,Waste management facility,4350000,2025-02-10,2025-09-11,2025-09-01,V008155,Completed
P00032710,MP0086,Bihar,MUZAFFARPUR-3,Road,Internal road development,8230000,2025-07-26,2025-12-07,2025-11-18,V026828,Completed
P00032711,MP0012,Maharashtra,SATARA-5,Community Development,Public facility development,4990000,2025-06-11,2025-11-07,2025-11-03,V019336,Completed
P00032712,MP0030,Telangana,HYDERABAD-1,Water Supply,Drinking water facility,7900000,2025-01-03,2025-06-01,2025-05-31,V043133,Completed
P00032713,MP0094,Madhya Pradesh,UJJAIN-4,Sports,Playground construction,2470000,2025-08-05,2025-11-11,,V013955,Ongoing
P00032714,MP0096,Maharashtra,PUNE-3,Electricity,Solar lighting installation,3770000,2025-07-27,2026-03-03,2026-08-03,V001248,Completed
P00032715,MP0060,Telangana,HYDERABAD-1,Sanitation,Community toilet construction,1020000,2025-01-17,2025-05-01,,V004886,Ongoing
P00032716,MP0100,Maharashtra,NASHIK-5,Water Supply,Drinking water facility,5950000,2025-06-20,2026-02-28,2026-02-22,V039231,Completed
P00032717,MP0071,Tamil Nadu,SALEM-2,Public Infrastructure,Infrastructure development,6670000,2025-02-06,2025-08-23,2025-07-30,V027932,Completed
P00032718,MP0081,Rajasthan,KOTA-2,Sanitation,Community toilet construction,4370000,2025-07-09,2026-01-07,2025-12-18,V021722,Completed
P00032719,MP0065,Tamil Nadu,CHENNAI-1,Education,Library construction,6350000,2025-08-03,2026-02-20,2026-01-31,V039469,Completed
P00032720,MP0014,West Bengal,DURGAPUR-5,Community Development,Village development work,2550000,2025-03-02,2025-10-24,2025-09-25,V030613,Completed
P00032721,MP0044,Karnataka,BELAGAVI-4,Healthcare,Primary health centre development,7760000,2025-07-05,2025-12-21,,V006859,Ongoing
P00032722,MP0026,Telangana,WARANGAL-3,Community Development,Public facility development,6820000,2025-08-27,2026-05-14,2026-09-13,V029803,Delayed
P00032723,MP0091,Madhya Pradesh,BHOPAL-1,Water Supply,Drinking water facility,1630000,2025-08-29,2026-01-29,2026-01-22,V017671,Completed
P00032724,MP0016,Karnataka,KALABURAGI-2,Education,School laboratory development,3940000,2025-01-09,2025-08-07,2025-08-03,V009958,Completed
P00032725,MP0007,Bihar,BHAGALPUR-5,Healthcare,Health centre infrastructure,2220000,2025-04-23,2025-11-18,2025-11-06,V027465,Completed
P00032726,MP0032,Karnataka,MYSURU-4,Sanitation,Community toilet construction,6110000,2025-04-17,2025-12-03,2025-11-19,V029999,Completed
P00032727,MP0089,Madhya Pradesh,UJJAIN-5,Public Infrastructure,Infrastructure development,2200000,2025-08-20,2026-02-19,2026-01-27,V042288,Completed
P00032728,MP0095,Maharashtra,SOLAPUR-4,Water Supply,Water supply improvement,4050000,2025-04-19,2026-01-12,2026-01-08,V010082,Completed
P00032729,MP0016,Karnataka,KALABURAGI-2,Sports,Sports ground development,7470000,2025-03-31,2025-10-13,,V036219,Ongoing
P00032730,MP0078,Karnataka,BENGALURU-2,Electricity,Electricity infrastructure,7110000,2025-03-17,2025-06-23,2025-06-17,V026923,Completed
P00032731,MP0089,Madhya Pradesh,UJJAIN-5,Public Infrastructure,Infrastructure development,3710000,2025-05-07,2025-11-17,2025-10-28,V026650,Completed
P00032732,MP0062,Bihar,GAYA-5,Healthcare,Community health facility,9510000,2025-06-01,2025-11-01,,V034630,Ongoing
P00032733,MP0030,Telangana,HYDERABAD-1,Agriculture,Irrigation development,890000,2025-07-04,2025-11-29,2025-11-04,V049018,Completed
P00032734,MP0071,Tamil Nadu,SALEM-2,Sports,Playground construction,4180000,2025-05-04,2025-12-29,,V036605,Ongoing
P00032735,MP0012,Maharashtra,SATARA-5,Electricity,Solar lighting installation,7370000,2025-04-20,2025-07-31,2025-07-28,V022778,Completed
P00032736,MP0067,Gujarat,RAJKOT-4,Healthcare,Community health facility,2560000,2025-06-11,2026-02-22,2026-02-06,V020389,Completed
P00032737,MP0091,Madhya Pradesh,BHOPAL-1,Agriculture,Farmer support infrastructure,9190000,2025-01-17,2025-06-14,2025-05-31,V048761,Completed
P00032738,MP0046,Telangana,WARANGAL-3,Healthcare,Medical equipment purchase,7430000,2025-02-03,2025-10-27,2025-09-29,V004146,Completed
P00032739,MP0083,Gujarat,VADODARA-4,Sanitation,Sanitation infrastructure,2800000,2025-04-07,2025-12-14,2025-11-17,V023852,Completed
P00032740,MP0043,Bihar,PATNA-2,Sports,Sports ground development,8020000,2025-02-13,2025-07-29,2025-07-11,V049896,Completed
P00032741,MP0055,Tamil Nadu,MADURAI-3,Road,Internal road development,6840000,2025-08-10,2026-04-11,2026-05-17,V027775,Delayed
P00032742,MP0045,Tamil Nadu,MADURAI-2,Sports,Sports ground development,3650000,2025-05-05,2025-10-13,2025-10-11,V026487,Completed
P00032743,MP0060,Telangana,HYDERABAD-1,Community Development,Community hall construction,9310000,2025-04-11,2025-11-06,2025-10-23,V041251,Completed
P00032744,MP0071,Tamil Nadu,SALEM-2,Electricity,Electricity infrastructure,7910000,2025-02-04,2025-10-04,,V034116,Ongoing
P00032745,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Public Infrastructure,Public building construction,1540000,2025-05-21,2026-01-27,2026-01-24,V027058,Completed
P00032746,MP0032,Karnataka,MYSURU-4,Water Supply,Construction of water tank,5020000,2025-04-27,2025-11-27,2025-11-07,V018120,Completed
P00032747,MP0008,Maharashtra,NANDED-4,Electricity,Solar lighting installation,6260000,2025-03-12,2025-11-19,,V034370,Ongoing
P00032748,MP0077,West Bengal,KOLKATA-2,Healthcare,Primary health centre development,500000,2025-01-01,2025-09-03,2025-10-29,V022028,Completed
P00032749,MP0062,Bihar,GAYA-5,Healthcare,Primary health centre development,4600000,2025-04-29,2025-12-10,,V033907,Ongoing
P00032750,MP0075,Tamil Nadu,MADURAI-1,Water Supply,Water supply improvement,8290000,2025-03-02,2025-09-19,2025-12-20,V012488,Delayed
P00032751,MP0020,Gujarat,BHAVNAGAR-2,Public Infrastructure,Public facility improvement,4800000,2025-02-13,2025-06-30,2025-06-25,V029947,Completed
P00032752,MP0018,Rajasthan,JODHPUR-3,Community Development,Public facility development,2370000,2025-02-19,2025-09-27,2025-09-19,V012457,Completed
P00032753,MP0006,Tamil Nadu,MADURAI-5,Public Infrastructure,Infrastructure development,1490000,2025-01-13,2025-08-31,2025-08-18,V044629,Completed
P00032754,MP0084,Karnataka,BELAGAVI-4,Road,Internal road development,7610000,2025-01-31,2025-09-11,2025-08-27,V022239,Completed
P00032755,MP0096,Maharashtra,PUNE-3,Public Infrastructure,Public facility improvement,1350000,2025-01-19,2025-07-03,2025-06-30,V019604,Completed
P00032756,MP0029,Rajasthan,JODHPUR-2,Water Supply,Pipeline installation,1160000,2025-08-17,2026-05-05,2026-04-05,V048879,Completed
P00032757,MP0004,Maharashtra,PUNE-1,Sanitation,Sanitation infrastructure,1720000,2025-06-18,2026-01-04,,V014419,Ongoing
P00032758,MP0071,Tamil Nadu,SALEM-2,Community Development,Public facility development,4890000,2025-05-10,2025-09-09,2025-08-20,V007343,Completed
P00032759,MP0043,Bihar,PATNA-2,Community Development,Community hall construction,7580000,2025-04-15,2025-10-05,,V010462,Ongoing
P00032760,MP0084,Karnataka,BELAGAVI-4,Community Development,Community hall construction,9550000,2025-08-23,2026-02-26,,V032841,Ongoing
P00032761,MP0034,Karnataka,BALLARI-5,Agriculture,Irrigation development,1090000,2025-05-09,2025-10-12,2025-10-03,V044690,Completed
P00032762,MP0100,Maharashtra,NASHIK-5,Community Development,Village development work,7660000,2025-01-06,2025-05-26,2025-05-09,V033392,Completed
P00032763,MP0071,Tamil Nadu,SALEM-2,Water Supply,Water supply improvement,7710000,2025-01-14,2025-09-23,,V024764,Ongoing
P00032764,MP0033,Telangana,NIZAMABAD-5,Sanitation,Community toilet construction,6500000,2025-02-13,2025-11-09,2025-11-06,V028143,Completed
P00032765,MP0015,Karnataka,BELAGAVI-2,Agriculture,Agricultural storage facility,9490000,2025-02-02,2025-09-24,2025-09-11,V018612,Completed
P00032766,MP0096,Maharashtra,PUNE-3,Sanitation,Community toilet construction,8400000,2025-06-01,2026-01-22,2026-01-07,V048947,Completed
P00032767,MP0086,Bihar,MUZAFFARPUR-3,Public Infrastructure,Infrastructure development,8690000,2025-02-17,2025-08-05,2025-07-27,V044783,Completed
P00032768,MP0040,Rajasthan,JODHPUR-5,Public Infrastructure,Public facility improvement,1160000,2025-04-28,2025-07-29,2025-07-15,V022341,Completed
P00032769,MP0093,West Bengal,HOWRAH-3,Sports,Playground construction,8550000,2025-04-22,2025-09-07,,V019012,Ongoing
P00032770,MP0089,Madhya Pradesh,UJJAIN-5,Sports,Playground construction,3670000,2025-01-18,2025-06-27,2025-06-06,V038578,Completed
P00032771,MP0005,Bihar,MUZAFFARPUR-5,Sanitation,Drainage improvement,890000,2025-01-13,2025-07-22,,V048110,Ongoing
P00032772,MP0078,Karnataka,BENGALURU-2,Healthcare,Community health facility,3800000,2025-08-21,2026-01-22,2026-01-17,V028219,Completed
P00032773,MP0050,Karnataka,HUBBALLI-2,Electricity,Solar lighting installation,4810000,2025-03-09,2025-07-04,2025-06-26,V034335,Completed
P00032774,MP0099,Karnataka,BALLARI-2,Healthcare,Medical equipment purchase,7150000,2025-07-07,2026-02-21,2026-02-11,V035489,Completed
P00032775,MP0066,Tamil Nadu,CHENNAI-1,Agriculture,Irrigation development,6760000,2025-08-20,2026-05-06,2026-04-23,V007921,Completed
P00032776,MP0089,Madhya Pradesh,UJJAIN-5,Sports,Community sports facility,2500000,2025-01-25,2025-09-07,2025-08-25,V010049,Completed
P00032777,MP0054,Karnataka,BELAGAVI-3,Community Development,Public facility development,6450000,2025-04-22,2025-11-10,2025-10-11,V009235,Completed
P00032778,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Road,Rural connectivity road,7610000,2025-02-20,2025-08-31,,V040335,Ongoing
P00032779,MP0046,Telangana,WARANGAL-3,Sports,Community sports facility,8950000,2025-02-22,2025-09-29,2025-12-10,V039234,Completed
P00032780,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Education,School classroom construction,8670000,2025-04-18,2025-12-03,2025-11-27,V048964,Completed
P00032781,MP0011,Rajasthan,KOTA-5,Electricity,Street lighting installation,3120000,2025-08-08,2025-12-06,2025-12-03,V045928,Completed
P00032782,MP0049,Rajasthan,AJMER-5,Sanitation,Drainage improvement,7860000,2025-03-03,2025-09-04,2025-08-08,V016316,Completed
P00032783,MP0099,Karnataka,BALLARI-2,Healthcare,Primary health centre development,6460000,2025-06-09,2025-12-08,2025-11-12,V012459,Completed
P00032784,MP0023,Bihar,PATNA-3,Healthcare,Community health facility,4540000,2025-04-15,2025-10-09,2025-09-28,V005685,Completed
P00032785,MP0055,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,1470000,2025-03-09,2025-07-24,2025-07-19,V026438,Completed
P00032786,MP0005,Bihar,MUZAFFARPUR-5,Education,School laboratory development,7210000,2025-03-08,2025-07-24,2025-10-21,V024063,Completed
P00032787,MP0064,Telangana,WARANGAL-1,Healthcare,Medical equipment purchase,7470000,2025-01-14,2025-07-30,,V020375,Ongoing
P00032788,MP0035,Rajasthan,JAIPUR-3,Electricity,Electricity infrastructure,2710000,2025-03-28,2025-11-19,2025-10-26,V017641,Completed
P00032789,MP0093,West Bengal,HOWRAH-3,Sports,Sports ground development,4230000,2025-06-27,2026-01-28,,V029105,Ongoing
P00032790,MP0069,Uttar Pradesh,LUCKNOW-4,Electricity,Street lighting installation,4390000,2025-06-23,2025-12-10,,V019727,Ongoing
P00032791,MP0054,Karnataka,BELAGAVI-3,Agriculture,Farmer support infrastructure,3500000,2025-02-17,2025-06-01,2025-05-06,V046701,Completed
P00032792,MP0003,Tamil Nadu,CHENNAI-5,Water Supply,Drinking water facility,7170000,2025-02-16,2025-05-25,2025-05-06,V034735,Completed
P00032793,MP0006,Tamil Nadu,MADURAI-5,Sanitation,Sanitation infrastructure,4480000,2025-05-06,2025-10-06,2025-09-07,V044146,Completed
P00032794,MP0087,Rajasthan,JAIPUR-2,Road,Road repair and improvement,4500000,2025-02-16,2025-09-24,2025-09-16,V046289,Completed
P00032795,MP0056,Telangana,WARANGAL-5,Healthcare,Health centre infrastructure,2360000,2025-04-18,2025-10-11,2025-09-27,V025609,Completed
P00032796,MP0002,Bihar,GAYA-1,Agriculture,Agricultural storage facility,7900000,2025-01-27,2025-09-14,,V006850,Ongoing
P00032797,MP0082,Rajasthan,JODHPUR-3,Electricity,Street lighting installation,4720000,2025-06-03,2025-12-07,,V021298,Ongoing
P00032798,MP0094,Madhya Pradesh,UJJAIN-4,Healthcare,Community health facility,8380000,2025-08-14,2026-01-29,2026-01-22,V048565,Completed
P00032799,MP0038,Karnataka,KALABURAGI-3,Water Supply,Construction of water tank,5400000,2025-01-14,2025-04-24,,V005469,Ongoing
P00032800,MP0056,Telangana,WARANGAL-5,Community Development,Community hall construction,8460000,2025-03-23,2025-08-28,2026-01-02,V043379,Completed
P00032801,MP0005,Bihar,MUZAFFARPUR-5,Water Supply,Construction of water tank,3310000,2025-01-07,2025-08-27,2026-01-15,V045920,Delayed
P00032802,MP0046,Telangana,WARANGAL-3,Electricity,Electricity infrastructure,8690000,2025-03-13,2025-10-21,2025-10-18,V000760,Completed
P00032803,MP0011,Rajasthan,KOTA-5,Sports,Playground construction,8870000,2025-07-08,2025-11-03,2025-10-25,V016641,Completed
P00032804,MP0065,Tamil Nadu,CHENNAI-1,Healthcare,Medical equipment purchase,9830000,2025-06-27,2026-01-12,2026-01-09,V001630,Completed
P00032805,MP0010,Karnataka,BELAGAVI-4,Public Infrastructure,Infrastructure development,6840000,2025-05-08,2025-11-10,2025-11-01,V027389,Completed
P00032806,MP0041,Maharashtra,LATUR-3,Community Development,Community hall construction,4790000,2025-07-22,2026-01-06,2026-01-03,V007386,Completed
P00032807,MP0044,Karnataka,BELAGAVI-4,Agriculture,Agricultural storage facility,8610000,2025-01-08,2025-05-15,,V032850,Ongoing
P00032808,MP0090,Tamil Nadu,COIMBATORE-1,Sports,Playground construction,7850000,2025-07-09,2026-02-27,2026-02-12,V034552,Completed
P00032809,MP0033,Telangana,NIZAMABAD-5,Education,School classroom construction,2310000,2025-04-26,2025-09-14,2025-12-30,V012713,Completed
P00032810,MP0091,Madhya Pradesh,BHOPAL-1,Healthcare,Medical equipment purchase,1290000,2025-05-09,2025-10-03,2025-09-10,V022900,Completed
P00032811,MP0056,Telangana,WARANGAL-5,Healthcare,Primary health centre development,1140000,2025-02-02,2025-05-26,2025-11-06,V027952,Delayed
P00032812,MP0012,Maharashtra,SATARA-5,Sports,Sports ground development,550000,2025-05-14,2025-12-10,2025-11-30,V022995,Completed
P00032813,MP0002,Bihar,GAYA-1,Sports,Community sports facility,2940000,2025-05-18,2025-11-04,2026-01-27,V005987,Completed
P00032814,MP0001,Karnataka,BELAGAVI-3,Electricity,Solar lighting installation,6950000,2025-02-19,2025-09-28,,V022088,Ongoing
P00032815,MP0065,Tamil Nadu,CHENNAI-1,Education,School infrastructure improvement,1720000,2025-04-22,2025-07-28,,V002036,Ongoing
P00032816,MP0033,Telangana,NIZAMABAD-5,Community Development,Community hall construction,3810000,2025-01-29,2025-10-11,2025-10-03,V005105,Completed
P00032817,MP0086,Bihar,MUZAFFARPUR-3,Water Supply,Pipeline installation,6170000,2025-01-09,2025-09-28,2025-09-13,V041819,Completed
P00032818,MP0076,Karnataka,KALABURAGI-2,Road,Internal road development,3370000,2025-03-20,2025-09-29,2025-09-19,V028517,Completed
P00032819,MP0036,Gujarat,RAJKOT-1,Healthcare,Health centre infrastructure,1680000,2025-07-08,2025-12-07,2025-12-05,V041130,Completed
P00032820,MP0021,Telangana,KARIMNAGAR-3,Water Supply,Construction of water tank,6440000,2025-06-12,2025-12-29,2025-12-11,V039816,Completed
P00032821,MP0084,Karnataka,BELAGAVI-4,Water Supply,Construction of water tank,5480000,2025-02-28,2025-08-28,2025-12-22,V021612,Delayed
P00032822,MP0036,Gujarat,RAJKOT-1,Sanitation,Waste management facility,7040000,2025-04-18,2025-08-07,2025-09-09,V013424,Completed
P00032823,MP0026,Telangana,WARANGAL-3,Sanitation,Sanitation infrastructure,5910000,2025-06-24,2025-09-22,2025-09-09,V000224,Completed
P00032824,MP0047,West Bengal,SILIGURI-2,Water Supply,Pipeline installation,9520000,2025-07-27,2026-04-09,2026-04-07,V010963,Completed
P00032825,MP0095,Maharashtra,SOLAPUR-4,Sports,Playground construction,9730000,2025-07-03,2026-01-01,2026-03-25,V025060,Delayed
P00032826,MP0001,Karnataka,BELAGAVI-3,Education,School infrastructure improvement,5620000,2025-04-06,2025-11-22,,V032380,Ongoing
P00032827,MP0038,Karnataka,KALABURAGI-3,Sanitation,Sanitation infrastructure,930000,2025-01-14,2025-09-08,2025-08-22,V009994,Completed
P00032828,MP0014,West Bengal,DURGAPUR-5,Agriculture,Agricultural storage facility,3630000,2025-04-19,2025-08-14,,V026560,Ongoing
P00032829,MP0090,Tamil Nadu,COIMBATORE-1,Education,School laboratory development,3170000,2025-03-03,2025-07-28,2025-07-16,V008100,Completed
P00032830,MP0046,Telangana,WARANGAL-3,Road,Village road construction,8830000,2025-06-14,2025-10-08,2025-09-29,V018691,Completed
P00032831,MP0042,Maharashtra,SOLAPUR-3,Road,Rural connectivity road,8910000,2025-04-23,2026-01-01,,V043862,Ongoing
P00032832,MP0007,Bihar,BHAGALPUR-5,Water Supply,Pipeline installation,5950000,2025-04-21,2025-10-10,,V028659,Ongoing
P00032833,MP0055,Tamil Nadu,MADURAI-3,Sanitation,Drainage improvement,9480000,2025-02-23,2025-07-01,2025-06-10,V049750,Completed
P00032834,MP0056,Telangana,WARANGAL-5,Healthcare,Medical equipment purchase,3290000,2025-02-14,2025-07-02,2025-06-30,V049237,Completed
P00032835,MP0076,Karnataka,KALABURAGI-2,Sports,Playground construction,7110000,2025-07-06,2025-12-23,,V017374,Ongoing
P00032836,MP0063,Gujarat,RAJKOT-2,Public Infrastructure,Public building construction,9530000,2025-02-25,2025-08-24,,V045723,Ongoing
P00032837,MP0024,Madhya Pradesh,BHOPAL-2,Sports,Community sports facility,6420000,2025-08-05,2025-12-02,2025-11-28,V012866,Completed
P00032838,MP0083,Gujarat,VADODARA-4,Community Development,Public facility development,9250000,2025-07-15,2025-12-08,2025-11-27,V003016,Completed
P00032839,MP0073,Tamil Nadu,CHENNAI-3,Healthcare,Primary health centre development,3320000,2025-05-28,2026-02-05,2026-01-25,V007595,Completed
P00032840,MP0099,Karnataka,BALLARI-2,Community Development,Public facility development,3750000,2025-05-06,2026-01-02,2025-12-20,V025751,Completed
P00032841,MP0004,Maharashtra,PUNE-1,Community Development,Public facility development,7240000,2025-05-04,2025-12-19,,V011815,Ongoing
P00032842,MP0042,Maharashtra,SOLAPUR-3,Agriculture,Irrigation development,8490000,2025-06-06,2025-10-05,,V044454,Ongoing
P00032843,MP0096,Maharashtra,PUNE-3,Public Infrastructure,Public facility improvement,560000,2025-08-18,2026-01-31,2026-01-13,V015721,Completed
P00032844,MP0070,Telangana,NIZAMABAD-4,Electricity,Electricity infrastructure,1380000,2025-06-28,2026-02-22,,V007588,Ongoing
P00032845,MP0028,West Bengal,SILIGURI-5,Road,Village road construction,2860000,2025-01-19,2025-07-23,2025-07-12,V014990,Completed
P00032846,MP0092,Tamil Nadu,MADURAI-3,Education,Library construction,8260000,2025-06-22,2025-11-06,2025-11-04,V030069,Completed
P00032847,MP0040,Rajasthan,JODHPUR-5,Sports,Community sports facility,2750000,2025-04-19,2025-08-07,2025-10-07,V030080,Delayed
P00032848,MP0051,Rajasthan,JAIPUR-5,Electricity,Street lighting installation,7210000,2025-04-07,2025-09-25,2026-03-21,V027487,Delayed
P00032849,MP0029,Rajasthan,JODHPUR-2,Sports,Sports ground development,8250000,2025-05-09,2026-01-05,,V022457,Ongoing
P00032850,MP0042,Maharashtra,SOLAPUR-3,Sports,Sports ground development,7460000,2025-05-31,2025-09-21,,V019631,Ongoing
P00032851,MP0069,Uttar Pradesh,LUCKNOW-4,Sports,Community sports facility,1610000,2025-02-09,2025-08-20,,V028211,Ongoing
P00032852,MP0005,Bihar,MUZAFFARPUR-5,Electricity,Solar lighting installation,3810000,2025-07-26,2026-04-04,2026-03-29,V039571,Completed
P00032853,MP0041,Maharashtra,LATUR-3,Agriculture,Agricultural storage facility,890000,2025-07-07,2026-03-27,2026-03-25,V005406,Completed
P00032854,MP0061,Uttar Pradesh,AGRA-1,Agriculture,Farmer support infrastructure,8620000,2025-08-16,2026-01-17,2025-12-28,V005196,Completed
P00032855,MP0055,Tamil Nadu,MADURAI-3,Sports,Community sports facility,9780000,2025-07-15,2025-11-19,,V048704,Ongoing
P00032856,MP0028,West Bengal,SILIGURI-5,Sports,Community sports facility,2320000,2025-03-30,2025-08-27,2025-08-10,V047932,Completed
P00032857,MP0041,Maharashtra,LATUR-3,Road,Road repair and improvement,3800000,2025-02-27,2025-09-27,,V049880,Ongoing
P00032858,MP0009,Madhya Pradesh,INDORE-2,Public Infrastructure,Public building construction,9980000,2025-03-07,2025-11-29,2025-11-17,V009258,Completed
P00032859,MP0029,Rajasthan,JODHPUR-2,Electricity,Street lighting installation,1450000,2025-01-02,2025-07-11,2025-10-13,V004518,Completed
P00032860,MP0078,Karnataka,BENGALURU-2,Water Supply,Pipeline installation,3130000,2025-06-06,2026-02-22,2026-02-21,V036064,Completed
P00032861,MP0038,Karnataka,KALABURAGI-3,Road,Village road construction,6440000,2025-07-08,2026-03-22,2026-02-22,V040498,Completed
P00032862,MP0062,Bihar,GAYA-5,Electricity,Street lighting installation,2230000,2025-05-29,2025-10-26,2025-10-04,V032531,Completed
P00032863,MP0054,Karnataka,BELAGAVI-3,Sports,Sports ground development,1350000,2025-06-01,2025-10-28,,V049576,Ongoing
P00032864,MP0052,Bihar,MUZAFFARPUR-2,Public Infrastructure,Public building construction,8730000,2025-01-26,2025-06-06,2025-05-28,V014910,Completed
P00032865,MP0034,Karnataka,BALLARI-5,Healthcare,Medical equipment purchase,5740000,2025-04-27,2025-12-17,,V008005,Ongoing
P00032866,MP0037,Madhya Pradesh,UJJAIN-2,Sports,Playground construction,2460000,2025-06-14,2026-01-17,2026-02-25,V033087,Delayed
P00032867,MP0049,Rajasthan,AJMER-5,Road,Road repair and improvement,3880000,2025-01-26,2025-05-03,2025-04-17,V037935,Completed
P00032868,MP0042,Maharashtra,SOLAPUR-3,Agriculture,Farmer support infrastructure,5850000,2025-05-07,2025-08-11,2025-07-19,V024962,Completed
P00032869,MP0014,West Bengal,DURGAPUR-5,Electricity,Solar lighting installation,1970000,2025-05-04,2026-01-04,2025-12-18,V023168,Completed
P00032870,MP0082,Rajasthan,JODHPUR-3,Road,Internal road development,3490000,2025-08-16,2026-04-17,2026-03-24,V036571,Completed
P00032871,MP0033,Telangana,NIZAMABAD-5,Water Supply,Water supply improvement,6580000,2025-04-02,2025-11-11,,V017410,Ongoing
P00032872,MP0098,Uttar Pradesh,PRAYAGRAJ-1,Road,Village road construction,7560000,2025-08-19,2026-03-17,2026-07-19,V006949,Completed
P00032873,MP0092,Tamil Nadu,MADURAI-3,Electricity,Solar lighting installation,3830000,2025-08-22,2026-01-07,2026-03-29,V028837,Completed
P00032874,MP0100,Maharashtra,NASHIK-5,Community Development,Community hall construction,8370000,2025-08-12,2026-04-28,2026-07-14,V002489,Delayed
P00032875,MP0087,Rajasthan,JAIPUR-2,Sports,Sports ground development,10000000,2025-04-08,2025-12-02,2025-11-28,V045206,Completed
P00032876,MP0017,Uttar Pradesh,AGRA-4,Sports,Community sports facility,9120000,2025-05-30,2025-11-12,2025-10-16,V010082,Completed
P00032877,MP0075,Tamil Nadu,MADURAI-1,Water Supply,Drinking water facility,1330000,2025-02-22,2025-09-04,2025-12-14,V001088,Completed
P00032878,MP0032,Karnataka,MYSURU-4,Sports,Sports ground development,7500000,2025-04-22,2025-11-06,2025-10-30,V031655,Completed
P00032879,MP0079,West Bengal,KOLKATA-5,Sanitation,Drainage improvement,7000000,2025-03-06,2025-07-07,2025-12-20,V016983,Completed
P00032880,MP0068,Bihar,BHAGALPUR-1,Public Infrastructure,Public facility improvement,6010000,2025-08-27,2026-05-01,,V043594,Ongoing
P00032881,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Agriculture,Agricultural storage facility,6560000,2025-06-28,2026-02-16,,V041878,Ongoing
P00032882,MP0094,Madhya Pradesh,UJJAIN-4,Education,School classroom construction,2090000,2025-01-01,2025-07-25,2025-07-23,V042767,Completed
P00032883,MP0010,Karnataka,BELAGAVI-4,Education,Library construction,8970000,2025-07-24,2025-11-08,,V023997,Ongoing
